2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::unlock 	FL:DBFS.cpp(51)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::unlock 	FL:DBFS.cpp(51)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::unlock 	FL:DBFS.cpp(51)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::unlock 	FL:DBFS.cpp(51)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::uninit 	FL:DBFS.cpp(32)
2016/03/08 12:38:52	T	xlive 	732:736 	[IN]              CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
2016/03/08 12:38:52	T	xlive 	732:736 	[OUT 0'0"46]      CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
